"id","code","description"
"ocu_411","7709","Catadores y clasificadores de alimentos y bebidas"
"ocu_412","7811","Trabajadores del tratamiento de la madera"
"ocu_413","7812","Ajustadores y operadores de máquinas para trabajar la madera"
"ocu_414","7820","Ebanistas y trabajadores afines"
"ocu_415","7831","Sastres"
"ocu_416","7832","Patronistas para productos en textil y piel"
"ocu_417","7833","Cortadores de tejidos"
"ocu_418","7834","Costureros a mano"
"ocu_419","7835","Tapiceros"
"ocu_420","7836","Curtidores y preparadores de pieles"
"ocu_421","7837","Zapateros y afines"
"ocu_422","7891","Buceadores"
"ocu_423","7892","Pegadores"
"ocu_424","7893","Clasificadores y probadores de productos (excepto alimentos"
"ocu_425","7894","Fumigadores y otros controladores de plagas y malas hierbas"
"ocu_426","7899","Oficiales"
"ocu_427","8111","Mineros y otros operadores en instalaciones mineras"
"ocu_428","8112","Operadores en instalaciones para la preparación de minerales y rocas"
"ocu_429","8113","Sondistas y trabajadores afines"
"ocu_430","8114","Operadores de maquinaria para fabricar productos derivados de minerales no metálicos"
"ocu_431","8121","Operadores en instalaciones para la obtención y transformación de metales"
"ocu_432","8122","Operadores de máquinas pulidoras"
"ocu_433","8131","Operadores en plantas industriales químicas"
"ocu_434","8132","Operadores de máquinas para fabricar productos farmacéuticos"
"ocu_435","8133","Operadores de laboratorios fotográficos y afines"
"ocu_436","8141","Operadores de máquinas para fabricar productos de caucho y derivados de resinas naturales"
"ocu_437","8142","Operadores de máquinas para fabricar productos de material plástico"
"ocu_438","8143","Operadores de máquinas para fabricar productos de papel y cartón"
"ocu_439","8144","Operadores de serrerías"
"ocu_440","8145","Operadores en instalaciones para la preparación de pasta de papel y fabricación de papel"
"ocu_441","8151","Operadores de máquinas para preparar fibras"
"ocu_442","8152","Operadores de telares y otras máquinas tejedoras"
"ocu_443","8153","Operadores de máquinas de coser y bordar"
"ocu_444","8154","Operadores de máquinas de blanquear"
"ocu_445","8155","Operadores de máquinas para tratar pieles y cuero"
"ocu_446","8156","Operadores de máquinas para la fabricación del calzado"
